Meas, V1, V2, V3, V4
0, 0.021085776, 0.005176467, 0.013794799, -0.001025380
1, -0.000612886, 0.016331141, -0.002975189, -0.001501065
2, 0.026989411, -0.003565646, 0.001355788, -0.012818642
3, 0.027328780, -0.015451153, 0.039115547, 0.023196835
4, -0.007323360, -0.006707897, 0.007391516, -0.010807229
5, 0.038368014, 0.012794337, 0.014362964, 0.008234859
6, 0.037385677, 0.014866416, 0.033324975, 0.012434582
7, 0.032243692, 0.000473785, 0.011934671, 0.031787644
8, -0.003771031, 0.004923110, -0.012290706, 0.016678696
9, -0.016184048, 0.028963842, -0.002460534, -0.001118969
10, 0.032093955, -0.012081969, 0.024086818, -0.002330283
11, -0.006477417, -0.004681046, 0.023233900, -0.005624776
12, 0.020301714, -0.009807004, -0.017609823, 0.023624634
13, 0.036286104, 0.007189844, 0.018872407, 0.009467040
14, 0.025589891, 0.007000634, 0.005820960, 0.000951832
15, 0.017315046, 0.039346824, -0.016411523, 0.034047608
16, -0.014317738, 0.015507790, 0.029995705, -0.011194371
17, 0.005765989, 0.031776034, 0.017753262, -0.002048523
18, -0.002538605, -0.011283787, -0.014904572, 0.016493688
19, 0.007694953, 0.030233650, -0.000189320, -0.006886872
20, 0.031247407, -0.001226688, 0.028104369, 0.023161863
21, 0.024813572, -0.009742750, 0.021529192, 0.020862451
22, 0.008182053, 0.033035192, -0.005121749, 0.012150751
23, -0.003795407, 0.035956871, 0.033451599, -0.003326419
24, 0.034567923, -0.016972544, -0.012630702, -0.017567923
25, 0.031579430, 0.011374583, 0.008372852, 0.012404523
26, 0.014445842, 0.006159582, 0.010860572, 0.001029815
27, 0.010541398, -0.002728149, 0.011178540, 0.032199325
28, -0.011693049, 0.020593760, -0.016321045, 0.008858013
29, 0.000055834, 0.016306656, 0.037652279, -0.004813750
30, -0.010072720, -0.005270562, 0.030979625, 0.025876847
31, -0.018386025, 0.022654086, -0.007550193, -0.004713997
32, 0.017435370, 0.016765846, -0.004970971, -0.007198193
33, 0.015180768, -0.010244655, 0.002357758, 0.008530563
34, -0.001347129, 0.033868595, 0.006629892, 0.024507831
35, -0.000264659, -0.001914997, -0.004714736, -0.000107689
36, 0.019747333, 0.023775802, -0.002241050, 0.006283160
37, 0.017257111, -0.006364754, 0.013316557, 0.020718215
38, -0.011630384, 0.019682253, 0.014874691, 0.021573173
39, 0.014085796, 0.039899629, 0.003359913, -0.008108181
40, -0.005700817, 0.034004012, 0.006216564, 0.031716286
41, 0.032851423, -0.012062901, 0.015281797, 0.029144169
42, -0.000618107, 0.034949012, 0.003025902, -0.001801812
