Meas, V1, V2, V3, V4
0, 0.000915178, 0.005808197, 0.003817725, 0.001456977
1, -0.003430198, 0.015095191, 0.011557470, -0.004132811
2, -0.000319786, 0.013107829, 0.027767023, 0.015876076
3, 0.019321645, -0.000437696, 0.016036071, 0.024291369
4, -0.017108380, 0.034267303, -0.006208318, -0.012990963
5, 0.013965872, 0.030426799, -0.015859555, 0.038411559
6, 0.025242524, 0.005806247, -0.000338164, 0.013742573
7, 0.031451351, 0.004216630, 0.022719415, -0.012724339
8, 0.004037376, 0.032550696, -0.003787033, -0.004542525
9, -0.009621651, 0.002266557, 0.009050786, -0.004190589
10, 0.005901220, -0.006478596, -0.007818420, -0.003199496
11, 0.038708850, 0.011759835, 0.011300528, -0.000444021
12, 0.005331231, 0.020840381, 0.014228044, 0.004790751
13, -0.011843961, 0.021232299, 0.022461035, 0.038352386
14, 0.012416511, -0.008016144, 0.012039660, 0.019923002
15, -0.005673818, 0.037566729, 0.010532973, 0.002229827
16, 0.032219695, 0.017329608, 0.020279334, 0.027291312
17, -0.006806607, 0.024863885, -0.015560445, 0.013217462
18, -0.004910100, 0.008379555, 0.018481442, 0.002345672
19, 0.029076030, 0.037647420, 0.028280852, 0.002951620
20, -0.011492126, 0.029211328, 0.012819517, -0.015106145
21, 0.034988926, 0.033733172, 0.037229497, -0.017957259
22, 0.019899299, 0.024390622, 0.028010060, 0.013679942
23, -0.015345271, 0.015273495, 0.020929800, 0.012587949
24, 0.040770460, 0.004841703, 0.027827618, 0.018595673
25, 0.040885377, -0.020030942, 0.026455117, -0.000937887
26, 0.018417448, 0.003689352, 0.003900555, -0.001390070
27, 0.030772061, 0.037985070, 0.013765206, 0.003144934
28, -0.001739281, 0.003840530, 0.006081315, -0.002158090
29, -0.002554556, -0.008776896, 0.010343178, 0.026828542
30, -0.013536889, 0.034291375, 0.035011285, 0.029805799
31, 0.023983621, 0.002085118, -0.001007334, 0.018031910
32, 0.028707532, -0.013753256, 0.028239261, -0.013966553
33, 0.000540686, 0.012357934, -0.005337952, -0.004559003
34, 0.023817831, 0.017490031, -0.010458665, -0.004822482
35, 0.014863992, -0.015142484, 0.024555333, 0.030932012
36, 0.027616573, 0.021741857, -0.000594216, 0.023232090
37, 0.034569775, -0.002853468, 0.019749340, -0.012725198
38, -0.013840430, 0.008226670, 0.021864291, 0.012973261
39, 0.017797468, -0.000277714, -0.010101524, -0.007696264
40, 0.000579082, -0.013120167, 0.014063059, 0.015222758
41, 0.026988424, -0.016811460, 0.040769859, 0.001806537
42, 0.015569780, 0.024467843, -0.001992403, 0.018290302
43, 0.003261264, -0.011848368, -0.009310680, 0.006941059
44, 0.031835024, -0.001277729, 0.011716496, 0.023632736
45, 0.003410368, 0.034489315, 0.035013875, -0.003750064
46, 0.021960130, -0.012211018, 0.022922657, 0.004390297
47, 0.015116696, 0.032374926, 0.025141223, 0.037418328
48, 0.023201510, -0.000624259, -0.013353783, -0.015354075
49, -0.014278786, -0.007519642, -0.014066630, -0.012469046
50, -0.006836276, -0.011007921, 0.031391195, 0.005520359
51, -0.004417047, -0.014960846, 0.027674588, 0.006778321
52, 0.000119804, -0.013150297, 0.014136178, -0.005589871
53, -0.009381580, 0.034467254, 0.004389874, 0.017402666
54, -0.004968871, -0.008269069, 0.020455856, 0.011830791
