Meas, V1, V2, V3, V4
106, -0.010461314, 0.016826433, 0.014564176, 0.026447085
107, 0.007463394, 0.005640479, 0.043345292, 0.019076945
108, 0.031635936, -0.003934851, 0.041130266, -0.004230320
109, 0.002815130, -0.006456217, -0.003433065, -0.009206966
110, 0.029546859, 0.034576090, 0.004273607, 0.023343564
111, 0.024714920, 0.011532560, 0.037629546, 0.011790870
112, 0.027203190, 0.000147030, 0.039230626, 0.037488905
113, 0.004763643, 0.011601601, 0.014292055, 0.004568276
114, 0.006374221, 0.027870912, -0.010164697, 0.026742904
115, -0.010351572, 0.012500553, 0.043338823, -0.002552396
116, 0.006497038, -0.013117057, 0.021244351, 0.030982022
117, 0.020472957, 0.034059144, -0.000686687, 0.008566529
118, 0.003902048, 0.027644809, 0.024498286, 0.011015309
119, 0.010243119, 0.008200454, 0.036836363, 0.022368194
120, 0.022091313, 0.018305187, 0.018307468, 0.031333388
121, 0.013630574, 0.001151938, 0.019408457, 0.004749865
122, 0.032105552, 0.034519000, 0.021944212, 0.002055288
123, 0.018797409, 0.007905594, 0.023694993, 0.025064046
124, 0.007202166, -0.006311013, 0.018090074, -0.014585912
125, 0.024793968, 0.029246557, -0.004829143, 0.021750073
126, -0.001567608, 0.031408112, 0.025402909, 0.039867144
127, 0.008399197, 0.013347716, -0.000942396, 0.014263657
128, -0.007385509, -0.002036251, 0.023199437, 0.021311015
129, 0.031799465, -0.001985663, 0.045221911, 0.024404282
130, -0.014797011, 0.011759330, 0.029416583, 0.023291615
131, 0.033252834, -0.005169261, -0.006094797, 0.029752850
132, -0.001927493, 0.039628616, -0.002731693, 0.000664084
133, -0.005674957, 0.036472247, 0.031080245, 0.008195810
134, -0.001382109, 0.000803293, -0.002336720, 0.005300184
135, 0.004924875, 0.026555248, 0.040345233, 0.014756038
136, 0.035124208, 0.022776591, 0.020444372, 0.015617599
137, 0.027625745, 0.007455128, 0.029701187, 0.016273674
138, 0.034281879, 0.001741117, 0.017002634, 0.027281047
139, 0.009842065, 0.001989015, 0.035417257, -0.010185584
140, 0.015338927, -0.003736550, 0.042642025, 0.006010863
141, 0.005670756, 0.042173418, 0.005486268, 0.041894869
142, 0.041569657, -0.000984803, 0.007292856, 0.013826180
143, 0.039872493, 0.000256310, 0.003708079, -0.012231075
144, 0.039649970, -0.001511722, 0.003348258, 0.010721159
145, 0.038171983, -0.000505339, 0.032599034, 0.016529559
146, -0.002723027, 0.000478324, 0.043630928, 0.025982529
147, 0.002781507, 0.035005630, -0.005087823, -0.004237653
148, 0.012529966, 0.025277548, 0.042037389, 0.018223756
149, 0.041293397, 0.039491050, 0.001982857, 0.044921167
150, 0.027201633, -0.003334124, 0.014300497, 0.004825727
151, 0.025857907, 0.022173394, 0.006267263, 0.018007030
152, 0.015114585, -0.002125601, 0.037116598, 0.006990323
153, -0.013723910, -0.014927627, 0.001882112, 0.037525714
154, 0.006002103, -0.001875135, -0.009927820, 0.000051883
155, -0.002459377, 0.000004907, 0.010344214, 0.008476996
156, 0.021189670, -0.013681145, 0.028847588, 0.040342902
157, 0.033399373, -0.012331972, 0.013578075, 0.037757669
158, 0.024007445, 0.005087363, 0.035099683, 0.027613948
159, 0.010740763, 0.009859461, 0.036940706, 0.007575074
160, 0.031546351, 0.011659135, 0.034040972, -0.001924820
161, 0.043704554, -0.012757735, 0.021652024, 0.018808861
162, 0.031124644, 0.016727711, 0.002442522, 0.021373516
163, 0.033022115, 0.008222606, 0.009134532, 0.033892586
164, 0.014792155, 0.018837262, -0.004124385, -0.010766096
165, 0.005882022, 0.024895356, 0.013129429, 0.019418785
166, 0.016869836, 0.027002333, 0.002806586, 0.031502516
